-----------------------------------------------------------------------
Generation 50

Pacman N°1
[Node 96 | Parent : 14 | Child : R | Depth : 5 | TerminalNode | Direction : LEFT]
[Node 102 | Parent : 101 | Child : L | Depth : 5 | TerminalNode | Direction : RIGHT]
[Node 103 | Parent : 101 | Child : R | Depth : 5 | TerminalNode | Direction : LEFT]
[Node 108 | Parent : 107 | Child : L | Depth : 5 | TerminalNode | Direction : LEFT]
[Node 109 | Parent : 107 | Child : R | Depth : 5 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 16 | Parent : 15 | Child : L | Depth : 6 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 89 | Parent : 15 | Child : R | Depth : 6 | IfNode | Tester : CheckWallLeftToPacman]
[Node 110 | Parent : 109 | Child : L | Depth : 6 | TerminalNode | Direction : DOWN]
[Node 111 | Parent : 109 | Child : R | Depth : 6 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 17 | Parent : 16 | Child : L | Depth : 7 | IfNode | Tester : CheckWallLeftToPacman]
[Node 84 | Parent : 16 | Child : R | Depth : 7 | IfNode | Tester : CheckWallDownToPacman]
[Node 90 | Parent : 89 | Child : L | Depth : 7 | IfNode | Tester : CheckWallDownToPacman]
[Node 93 | Parent : 89 | Child : R | Depth : 7 | IfNode | Tester : CheckGhostRightToPacman]
[Node 112 | Parent : 111 | Child : L | Depth : 7 | IfNode | Tester : CheckPacgumLeftToPacman]
[Node 225 | Parent : 111 | Child : R | Depth : 7 | TerminalNode | Direction : UP]
[Node 18 | Parent : 17 | Child : L | Depth : 8 | TerminalNode | Direction : UP]
[Node 19 | Parent : 17 | Child : R | Depth : 8 | IfNode | Tester : CheckWallRightToPacman]
[Node 85 | Parent : 84 | Child : L | Depth : 8 | IfNode | Tester : CheckWallRightToPacman]
[Node 88 | Parent : 84 | Child : R | Depth : 8 | TerminalNode | Direction : LEFT]
[Node 91 | Parent : 90 | Child : L | Depth : 8 | TerminalNode | Direction : UP]
[Node 92 | Parent : 90 | Child : R | Depth : 8 | TerminalNode | Direction : DOWN]
[Node 94 | Parent : 93 | Child : L | Depth : 8 | TerminalNode | Direction : RIGHT]
[Node 95 | Parent : 93 | Child : R | Depth : 8 | TerminalNode | Direction : LEFT]
[Node 113 | Parent : 112 | Child : L | Depth : 8 | TerminalNode | Direction : LEFT]
[Node 114 | Parent : 112 | Child : R | Depth : 8 | IfNode | Tester : CheckGhostIsClose]
[Node 20 | Parent : 19 | Child : L | Depth : 9 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 23 | Parent : 19 | Child : R | Depth : 9 | IfNode | Tester : CheckGhostDownToPacman]
[Node 86 | Parent : 85 | Child : L | Depth : 9 | TerminalNode | Direction : RIGHT]
[Node 87 | Parent : 85 | Child : R | Depth : 9 | TerminalNode | Direction : UP]
[Node 115 | Parent : 114 | Child : L | Depth : 9 | IfNode | Tester : CheckGhostRightToPacman]
[Node 224 | Parent : 114 | Child : R | Depth : 9 | TerminalNode | Direction : DOWN]
[Node 21 | Parent : 20 | Child : L | Depth : 10 | TerminalNode | Direction : DOWN]
[Node 22 | Parent : 20 | Child : R | Depth : 10 | TerminalNode | Direction : DOWN]
[Node 24 | Parent : 23 | Child : L | Depth : 10 | IfNode | Tester : CheckPacgumIsClose]
[Node 27 | Parent : 23 | Child : R | Depth : 10 | IfNode | Tester : CheckWallDownToPacman]
[Node 116 | Parent : 115 | Child : L | Depth : 10 | IfNode | Tester : CheckWallLeftToPacman]
[Node 223 | Parent : 115 | Child : R | Depth : 10 | TerminalNode | Direction : RIGHT]
[Node 25 | Parent : 24 | Child : L | Depth : 11 | TerminalNode | Direction : UP]
[Node 26 | Parent : 24 | Child : R | Depth : 11 | TerminalNode | Direction : UP]
[Node 28 | Parent : 27 | Child : L | Depth : 11 | TerminalNode | Direction : UP]
[Node 29 | Parent : 27 | Child : R | Depth : 11 | IfNode | Tester : CheckGhostRightToPacman]
[Node 117 | Parent : 116 | Child : L | Depth : 11 | TerminalNode | Direction : UP]
[Node 118 | Parent : 116 | Child : R | Depth : 11 | IfNode | Tester : CheckWallRightToPacman]
[Node 30 | Parent : 29 | Child : L | Depth : 12 | IfNode | Tester : CheckGhostDownToPacman]
[Node 65 | Parent : 29 | Child : R | Depth : 12 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 119 | Parent : 118 | Child : L | Depth : 12 | TerminalNode | Direction : UP]
[Node 120 | Parent : 118 | Child : R | Depth : 12 | IfNode | Tester : CheckGhostIsClose]
[Node 31 | Parent : 30 | Child : L | Depth : 13 | TerminalNode | Direction : RIGHT]
[Node 32 | Parent : 30 | Child : R | Depth : 13 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 66 | Parent : 65 | Child : L | Depth : 13 | TerminalNode | Direction : LEFT]
[Node 67 | Parent : 65 | Child : R | Depth : 13 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 121 | Parent : 120 | Child : L | Depth : 13 | IfNode | Tester : CheckGhostIsClose]
[Node 126 | Parent : 120 | Child : R | Depth : 13 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 33 | Parent : 32 | Child : L | Depth : 14 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 38 | Parent : 32 | Child : R | Depth : 14 | IfNode | Tester : CheckGhostRightToPacman]
